datetime,location_id,lat,lon,location,co,no,no2,nox,o3,pm10,pm25,relativehumidity,so2,temperature,wind_direction,wind_speed,city,aqi
2025-02-19T01:45:00+05:30,6966,10.073232,76.302765,"Udyogamandal, Eloor - Kerala PCB-3379604",0.32,4.75,6.19,,11.73,65.99,50.76,98.75,2.51,28.09,,,Ernakulam,85.0
2025-02-19T02:00:00+05:30,6966,10.073232,76.302765,"Udyogamandal, Eloor - Kerala PCB-3379604",0.39,3.99,6.37,,14.77,69.29,54.06,98.75,2.13,27.96,,,Ernakulam,90.0
2025-02-19T02:15:00+05:30,6966,10.073232,76.302765,"Udyogamandal, Eloor - Kerala PCB-3379604",0.3,4.48,6.3,,11.5,77.44,62.21,98.75,2.35,27.92,,,Ernakulam,107.0
2025-02-19T02:30:00+05:30,6966,10.073232,76.302765,"Udyogamandal, Eloor - Kerala PCB-3379604",0.27,4.26,6.72,,10.7,74.52,59.29,98.75,2.24,27.86,,,Ernakulam,99.0
2025-02-19T02:45:00+05:30,6966,10.073232,76.302765,"Udyogamandal, Eloor - Kerala PCB-3379604",0.23,4.36,6.56,,13.69,67.71,52.48,98.75,2.28,27.74,,,Ernakulam,87.0
2025-02-19T03:00:00+05:30,6966,10.073232,76.302765,"Udyogamandal, Eloor - Kerala PCB-3379604",0.25,4.34,5.98,,14.72,67.61,52.39,98.75,2.28,27.69,,,Ernakulam,87.0
2025-02-19T03:15:00+05:30,6966,10.073232,76.302765,"Udyogamandal, Eloor - Kerala PCB-3379604",0.33,4.15,5.84,,14.45,67.39,52.16,98.75,2.18,27.8,,,Ernakulam,87.0
2025-02-19T03:30:00+05:30,6966,10.073232,76.302765,"Udyogamandal, Eloor - Kerala PCB-3379604",0.44,4.64,5.81,,13.49,66.37,51.14,98.78,2.42,27.69,,,Ernakulam,85.0
2025-02-19T03:45:00+05:30,6966,10.073232,76.302765,"Udyogamandal, Eloor - Kerala PCB-3379604",0.26,3.99,6.41,,14.09,63.99,48.76,98.8,2.22,27.63,,,Ernakulam,81.0
2025-02-19T04:00:00+05:30,6966,10.073232,76.302765,"Udyogamandal, Eloor - Kerala PCB-3379604",0.33,4.3,7.17,,11.87,63.45,48.22,98.8,2.25,27.61,,,Ernakulam,80.0
2025-02-19T04:15:00+05:30,6966,10.073232,76.302765,"Udyogamandal, Eloor - Kerala PCB-3379604",0.29,3.97,6.61,,13.94,62.19,46.96,98.8,2.12,27.6,,,Ernakulam,78.0
2025-02-19T04:30:00+05:30,6966,10.073232,76.302765,"Udyogamandal, Eloor - Kerala PCB-3379604",0.28,4.06,6.65,,11.09,64.8,49.57,98.8,2.14,27.51,,,Ernakulam,83.0
2025-02-19T04:45:00+05:30,6966,10.073232,76.302765,"Udyogamandal, Eloor - Kerala PCB-3379604",0.59,3.94,6.56,,14.39,70.9,55.67,98.8,2.08,27.2,,,Ernakulam,93.0
2025-02-19T05:00:00+05:30,6966,10.073232,76.302765,"Udyogamandal, Eloor - Kerala PCB-3379604",0.5,4.16,6.24,,14.29,70.7,55.47,98.79,2.18,27.15,,,Ernakulam,92.0
2025-02-19T05:15:00+05:30,6966,10.073232,76.302765,"Udyogamandal, Eloor - Kerala PCB-3379604",0.43,4.46,6.05,,13.8,70.23,55.0,98.76,2.41,27.09,,,Ernakulam,92.0
2025-02-19T05:30:00+05:30,6966,10.073232,76.302765,"Udyogamandal, Eloor - Kerala PCB-3379604",0.31,4.24,6.85,,11.55,69.92,54.69,98.78,2.23,26.9,,,Ernakulam,91.0
2025-02-19T05:45:00+05:30,6966,10.073232,76.302765,"Udyogamandal, Eloor - Kerala PCB-3379604",0.47,4.12,6.16,,12.17,69.2,53.97,98.8,1.87,26.75,,,Ernakulam,90.0
2025-02-19T06:00:00+05:30,6966,10.073232,76.302765,"Udyogamandal, Eloor - Kerala PCB-3379604",0.41,3.47,5.81,,10.5,68.31,53.08,98.78,2.22,26.59,,,Ernakulam,88.0
2025-02-19T06:15:00+05:30,6966,10.073232,76.302765,"Udyogamandal, Eloor - Kerala PCB-3379604",0.35,3.87,6.47,,14.13,66.22,50.99,98.78,2.12,26.41,,,Ernakulam,85.0
2025-02-19T06:30:00+05:30,6966,10.073232,76.302765,"Udyogamandal, Eloor - Kerala PCB-3379604",0.32,4.19,6.88,,15.04,69.25,54.02,98.79,2.01,26.26,,,Ernakulam,90.0
2025-02-19T06:45:00+05:30,6966,10.073232,76.302765,"Udyogamandal, Eloor - Kerala PCB-3379604",0.32,4.08,6.67,,16.9,76.33,61.1,98.8,2.36,26.25,,,Ernakulam,104.0
2025-02-19T07:00:00+05:30,6966,10.073232,76.302765,"Udyogamandal, Eloor - Kerala PCB-3379604",0.55,4.23,6.3,,14.74,74.57,59.34,98.78,2.46,26.42,,,Ernakulam,99.0
2025-02-19T07:15:00+05:30,6966,10.073232,76.302765,"Udyogamandal, Eloor - Kerala PCB-3379604",0.36,4.21,5.56,,13.94,70.23,55.0,98.76,2.2,26.82,,,Ernakulam,92.0
2025-02-19T07:30:00+05:30,6966,10.073232,76.302765,"Udyogamandal, Eloor - Kerala PCB-3379604",0.62,4.35,6.49,,13.71,69.21,53.98,98.75,2.5,26.83,,,Ernakulam,90.0
2025-02-19T07:45:00+05:30,6966,10.073232,76.302765,"Udyogamandal, Eloor - Kerala PCB-3379604",0.57,4.38,5.79,,14.23,66.81,51.58,98.73,2.38,27.23,,,Ernakulam,86.0
2025-02-19T08:00:00+05:30,6966,10.073232,76.302765,"Udyogamandal, Eloor - Kerala PCB-3379604",0.61,4.14,7.07,,14.1,69.42,54.19,98.7,2.07,27.59,,,Ernakulam,90.0
2025-02-19T08:15:00+05:30,6966,10.073232,76.302765,"Udyogamandal, Eloor - Kerala PCB-3379604",0.86,5.13,6.76,,19.44,75.51,60.28,93.89,2.17,27.99,,,Ernakulam,101.0
2025-02-19T08:45:00+05:30,6966,10.073232,76.302765,"Udyogamandal, Eloor - Kerala PCB-3379604",0.55,4.28,6.31,,12.88,73.09,57.86,79.76,1.97,29.59,,,Ernakulam,96.0
2025-02-19T09:00:00+05:30,6966,10.073232,76.302765,"Udyogamandal, Eloor - Kerala PCB-3379604",0.87,4.24,6.94,,16.18,70.36,55.13,72.97,2.32,30.31,,,Ernakulam,92.0
2025-02-19T09:15:00+05:30,6966,10.073232,76.302765,"Udyogamandal, Eloor - Kerala PCB-3379604",0.92,3.86,6.34,,21.45,63.66,48.43,73.22,2.27,30.36,,,Ernakulam,81.0
2025-02-19T09:30:00+05:30,6966,10.073232,76.302765,"Udyogamandal, Eloor - Kerala PCB-3379604",0.66,3.92,6.79,,20.2,64.62,49.35,71.1,2.16,31.46,,,Ernakulam,82.0
2025-02-19T09:45:00+05:30,6966,10.073232,76.302765,"Udyogamandal, Eloor - Kerala PCB-3379604",0.72,4.27,6.14,,23.61,66.87,51.64,73.61,2.61,31.65,,,Ernakulam,86.0
2025-02-19T10:00:00+05:30,6966,10.073232,76.302765,"Udyogamandal, Eloor - Kerala PCB-3379604",0.69,3.91,7.5,,20.77,65.05,49.82,71.56,1.99,32.03,,,Ernakulam,83.0
2025-02-19T10:15:00+05:30,6966,10.073232,76.302765,"Udyogamandal, Eloor - Kerala PCB-3379604",0.84,3.94,6.63,,26.96,60.57,45.34,72.76,2.29,31.78,,,Ernakulam,76.0
2025-02-19T10:30:00+05:30,6966,10.073232,76.302765,"Udyogamandal, Eloor - Kerala PCB-3379604",0.52,4.62,6.0,,24.22,58.8,43.57,65.63,2.04,32.98,,,Ernakulam,73.0
