datetime,location_id,lat,lon,location,co,no,no2,nox,o3,pm10,pm25,relativehumidity,so2,temperature,wind_direction,wind_speed,city,aqi
2025-02-19T08:00:00+05:30,10747,11.875,75.3732,"Thavakkara, Kannur - Kerala PCB-3382782",1.03,4.63,12.86,,27.77,60.06,36.31,52.77,3.13,34.77,,,Kannur,61.0
2025-02-19T08:30:00+05:30,10747,11.875,75.3732,"Thavakkara, Kannur - Kerala PCB-3382782",1.02,4.14,12.67,,28.25,53.39,32.15,53.25,2.8,35.25,,,Kannur,54.0
2025-02-19T08:45:00+05:30,10747,11.875,75.3732,"Thavakkara, Kannur - Kerala PCB-3382782",0.95,4.41,13.04,,28.39,57.07,34.42,53.39,2.99,35.39,,,Kannur,57.0
2025-02-19T09:00:00+05:30,10747,11.875,75.3732,"Thavakkara, Kannur - Kerala PCB-3382782",0.96,4.16,12.89,,28.95,53.63,32.3,53.95,2.82,35.95,,,Kannur,54.0
2025-02-19T09:15:00+05:30,10747,11.875,75.3732,"Thavakkara, Kannur - Kerala PCB-3382782",0.96,4.45,13.02,,28.86,57.54,34.76,53.86,3.01,35.86,,,Kannur,58.0
2025-02-19T09:30:00+05:30,10747,11.875,75.3732,"Thavakkara, Kannur - Kerala PCB-3382782",0.94,3.87,12.05,,29.55,49.58,29.78,54.55,2.62,36.55,,,Kannur,50.0
2025-02-19T09:45:00+05:30,10747,11.875,75.3732,"Thavakkara, Kannur - Kerala PCB-3382782",0.98,3.97,11.03,,29.64,51.03,30.72,54.64,2.69,36.64,,,Kannur,51.0
2025-02-19T10:00:00+05:30,10747,11.875,75.3732,"Thavakkara, Kannur - Kerala PCB-3382782",1.06,4.21,12.72,,30.04,54.21,32.64,55.04,2.85,37.04,,,Kannur,54.0
2025-02-19T10:15:00+05:30,10747,11.875,75.3732,"Thavakkara, Kannur - Kerala PCB-3382782",1.0,3.85,12.22,,30.33,49.37,29.66,55.33,2.61,37.33,,,Kannur,49.0
2025-02-19T10:30:00+05:30,10747,11.875,75.3732,"Thavakkara, Kannur - Kerala PCB-3382782",1.03,4.44,13.44,,30.53,57.43,34.66,55.53,3.0,37.53,,,Kannur,58.0
2025-02-19T10:45:00+05:30,10747,11.875,75.3732,"Thavakkara, Kannur - Kerala PCB-3382782",0.96,4.71,13.61,,30.85,61.09,36.92,55.85,3.19,37.85,,,Kannur,62.0
2025-02-19T11:00:00+05:30,10747,11.875,75.3732,"Thavakkara, Kannur - Kerala PCB-3382782",0.95,4.06,13.62,,31.07,52.22,31.42,56.07,2.75,38.07,,,Kannur,52.0
2025-02-19T11:15:00+05:30,10747,11.875,75.3732,"Thavakkara, Kannur - Kerala PCB-3382782",0.9,3.68,12.79,,31.25,46.89,28.12,56.25,2.49,38.25,,,Kannur,47.0
2025-02-19T11:30:00+05:30,10747,11.875,75.3732,"Thavakkara, Kannur - Kerala PCB-3382782",0.99,3.69,12.16,,30.82,47.1,28.2,55.82,2.5,37.82,,,Kannur,47.0
2025-02-19T11:45:00+05:30,10747,11.875,75.3732,"Thavakkara, Kannur - Kerala PCB-3382782",1.03,3.95,12.9,,31.32,50.58,30.41,56.32,2.67,38.32,,,Kannur,51.0
2025-02-19T12:00:00+05:30,10747,11.875,75.3732,"Thavakkara, Kannur - Kerala PCB-3382782",1.0,4.44,14.18,,31.56,57.51,34.75,56.56,3.01,38.56,,,Kannur,58.0
